title,price,price_text,condition,shipping,location,seller,watchers,sold_count,time_left,buy_it_now,free_shipping,best_offer,auction,link,image_url,scraped_at
Gourmandise iPhone 13 Case Cover 6.1 Hybrid Glass Mr. Potato Head B MPH-55B,40.2,$40.20,Brand New,N/A,Located in Japan,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/165400914025?_skw=iphone+case&itmmeta=01K3FQZX6V4CWRDQBVZ8F2AKE6&hash=item2682a9a869:g:GBUAAOSwqKhiPUYC&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cb6RgwpCg8Zm6Y3br3%2FU10joGH2r2XFITu%2Bb1z3wf50cXMoqM3qIT%2FBV9WdA%2BEI2vAQyUHIqtv7QnwHkHinzG9DS42otu9632K6B95CnhtyfFgSyXTbVFuDWNpZu0NwreBrLzn5Fe1cHWI%2FJuooK%2BUHIXzpge9JTiICvIJ8iMkFfmK%2BYKiEY8OyHVsKtho2YwRXa3mdWL4b1nqs3xYR7guqviunXehNfNK77qtyfMnHLkKmwjg1I08j5dT6tVL4O0%3D%7Ctkp%3ABk9SR7LV__ebZg,https://i.ebayimg.com/images/g/GBUAAOSwqKhiPUYC/s-l500.webp,2025-08-25T12:32:42.543019
TAURI iPhone 15 Case YJ 1+2 Black with (2) Screen Protector,5.99,$5.99,Open Box,Shipping not specified,Located in United States,N/A,0,0,N/A,False,False,True,False,https://www.ebay.com/itm/336033169485?_skw=iphone+case&itmmeta=01K3FQZX6VKQ64ARJQFEC85G4Y&hash=item4e3d23404d:g:FqcAAeSwHVloW3na&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1f3AkhNG4rA%2BhudaXwOht2cZKNs6i0BqIgxuVcBNQWcVqZIY4Q%2FpzvX%2BZccTCERW8x5XBR0%2FU%2BOWiPXeW3j5SxuzpPwHA%2B6x6SuOtzsCA%2FB%2BD%2BLtHZbmu1vFqeYQo%2FvMdwSj5SmP20YmKtGuA59B%2F4poDuJ2JBClSrbApwgo5dHFnMn8rtuYcw3ANhcTZ%2F3D1ZdBVwhVZWqTYITqwTmw24OnQgIYB6HZ6yQTn1scCcGEVgfQR6BTerehzormH0fGTk%3D%7Ctkp%3ABk9SR7LV__ebZg,https://i.ebayimg.com/images/g/FqcAAeSwHVloW3na/s-l500.webp,2025-08-25T12:32:42.543019
iPhone 6.5 Phone Case,25.0,$25.00,Brand New,Shipping not specified,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/176756695851?_skw=iphone+case&itmmeta=01K3FQZX6V7FNKRMSE2600JDQP&hash=item292785232b:g:ngkAAOSwz8Zna5id&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1fWJmEsUiO6B2hNd2kUyNcaamkQuV%2FTOuRmVzwc6ufMGbtq1d3KNLtScnm2638bkQDR6Ruj6XtwHMFiXI%2Bwsyl7PzMtzvRBOU4PPSqjiVLQWiWM3r9LWe9GielXct%2FajMqtl0g7MkRVetkVPSFFN6yq6OMYGIkIKI3rJqfhhY0bg24eMzKWf8qCp4ciCgZYNkeyry3gyLI5hTIi%2BF0D4o5mjqQ59gIPUx%2F8XAPpr%2Fb468W6sjjXm8VOvzl98VwWN%2BE%3D%7Ctkp%3ABk9SR7LV__ebZg,https://i.ebayimg.com/images/g/ngkAAOSwz8Zna5id/s-l300.webp,2025-08-25T12:32:42.559162
Snoopy Hello Friends Lens Guard Case for iPhone 16 15 14 13 12 Pro Max mini Plus,23.9,$23.90,Brand New,N/A,Located in South Korea,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/286673088452?_skw=iphone+case&itmmeta=01K3FQZX6VSNKPV70N0SQGKYJY&hash=item42bf0c2fc4:g:0qAAAOSwNe9oW3c6&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cWy%2BUVTBKc8EIJ15weKsDlkLFzB8t1e%2BlRPvL01BfmvRTWKjI3vGgT9HiAaXYwQL37yU48Iag%2BRhj69uxKuxGJL%2FUrttwqgCKLegH13XZyqx8meH2cHqKqdU6gvkBg8zloZa0gPM024FBFUGl1am%2BmMYMAY77iG53dQqZzYP5gNrTWzqsepCtBiLddGga%2BIkKLFxtxjqVNZ5H1tcdDlFGh7I9Hw9OUx5vxX3XbcR6itDOpQoMNh%2BLS7TJTInMdI7E%3D%7Ctkp%3ABk9SR7LV__ebZg,https://i.ebayimg.com/images/g/0qAAAOSwNe9oW3c6/s-l300.webp,2025-08-25T12:32:42.559162
"Vibrant Slim Phone Cases, Cute Aesthetic Tech Accessories, Aesthetic, Sticker",14.5,$14.50,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/167609878915?_skw=iphone+case&itmmeta=01K3FQZX6V8CV606VFPD7FTGN2&hash=item270653c983:g:jREAAOSwobloW3u0&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eUWIufWha11o84woO6lsm6bdfuIW6I022I4V0An4R1RniL9nfW4AWNh9mKhu%2F1gFlzu1UzHBIAr6IsD5ivzTFXxByO6Lcxt79UHJA66NqWaaL5xORUiP%2FJ99iJLWS4N3lYqt8roY3QVd3%2BWhJTmg81BJPUhEhf5mhUABOApldRItpY3xc29x%2B%2BH%2FMr50zLhnIZctKAxsfZ6sQrd9wtA%2FcClx8MH4F3asBtM9pcDFCttBg79aPYysRvtZg8uynfHV3Wlx1QJ4%2Fp9NrWxxWTLmdC97NuZN%2BptAAL4TQUdICLvw%3D%3D%7Ctkp%3ABk9SR7LV__ebZg,https://i.ebayimg.com/images/g/jREAAOSwobloW3u0/s-l300.webp,2025-08-25T12:32:42.559162
"PBG NCAA Oregon Ducks Textured Case for iPhone 11 Pro, X & XS (5.8"")",14.99,$14.99,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/305226588728?_skw=iphone+case&itmmeta=01K3FQZX6VRHEVG6AWZV8DD20K&hash=item4710ec2238:g:pc8AAOSwGrllOJu4&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cVXCRClSmrtgsSsWqxZM4%2Ftd0knatujIfPBOnjHD2PDjtOfUKCU5ryyKF9YHQiNG7jq%2FOPy1bozNSHZH%2FU808H0EhKeVUnTyURNNHABpbG%2F31fCPu6YyVhAgoBj5EOahyA%2Bg8mKCW%2FHzThsfjlxX2%2F0JsTRwgWaU9E6J6BIek%2B7tkrTCocKQsul7hrwtYte9C%2BOuL0g6qARSF%2BH3PObsZrEJF4QFQBMp%2BNUA5mQcfE91xF38F8LOaVyGeRc5zIeDa1%2F6%2F6tzjWEl6QrZ1YgEUaqjHkLIaATkpeAOpzzpkzhw%3D%3D%7Ctkp%3ABk9SR7TV__ebZg,https://i.ebayimg.com/images/g/pc8AAOSwGrllOJu4/s-l300.webp,2025-08-25T12:32:42.559162
Apple Case for iPhone 12Pro,14.99,$14.99,Open Box,N/A,Located in Kazakhstan,N/A,0,0,N/A,False,False,True,False,https://www.ebay.com/itm/375010879288?_skw=iphone+case&itmmeta=01K3FQZX6V9QKJ6E381SP1JPCZ&hash=item575063e738:g:nqgAAOSwDaJlOJlT&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cLGN9BZ5aOMXn76A9%2BPvw03JWTWu5qOCqW1ABSCBwV4r3XKZ%2B6YWujVs3da5ffOW%2BtkUoQlvDFwQCTtY705jnMdFObhZKoMDRpfyzm%2FpKIAdvuO%2BUFu5nG6mqJoy2U5%2F2HQuVte0yPCP3DGJNQbIeVLbGrQvzuuWmS9v68bRQUTfOPw6AxnQiXt%2FgRZkLvMW6yp6AB9rk0APaF%2BF9YrlHZ6MiopW5b8a15zo5Fd8CxDy%2FPkFEN7yUdCn%2FfOOOPSJg%3D%7Ctkp%3ABk9SR7TV__ebZg,https://i.ebayimg.com/images/g/nqgAAOSwDaJlOJlT/s-l300.webp,2025-08-25T12:32:42.559162
Magnetic Compatible for iPhone 15 Pro Max Case with Camera Cover Military Grade,9.49,$9.49,Brand New,N/A,Located in United States,N/A,5,0,N/A,True,False,False,True,https://www.ebay.com/itm/387857204859?_skw=iphone+case&itmmeta=01K3FQZX6VR64VFPBXNN5G10Y5&hash=item5a4e17467b:g:G38AAOSw3zBnlHZo&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1dl7XptJ7jGD3CuAsplI1OuINK0zRckN1xvhI52RmBZbO%2Fxwm2vwZEAkn%2BdbVCjXcP19N3RFT3UWbOjSYLV%2FCGvxnvepzySEqtcxOMgsggkaDocOGTlBXPoU6zbaSjhNs6Xpe4EMCA99hsUuIxSZSTeDyyck1wBsN1pCfYmxwDbUytuB8tIG8t62EDIN2ZWIAcaWxNcbnwJQNks38ZQPVXqV73xu7BNOehFiyvN649Vno3QC7I2%2F37ROu5Kfy5%2BeREKYjgqxenNKQyc4ulw2rsLmIDbV3qWNpGdZw7BAD0%2BAA%3D%3D%7Ctkp%3ABk9SR7TV__ebZg,https://i.ebayimg.com/images/g/G38AAOSw3zBnlHZo/s-l300.webp,2025-08-25T12:32:42.578487
Original Speck CandyShell Red Case iPhone 4/4S NIB,12.49,$12.49,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/357172081224?_skw=iphone+case&itmmeta=01K3FQZX6VZQRPSQD58KPE9WD6&hash=item53291d7248:g:TaUAAeSwAEhoW3wH&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dPzIGwlSvA9UbvzbzRYWQHXV1xtksPpSt40p8Y3WfMwc4FspUQBTPIYKzt3GbYJvffetXH5vvTvWuvWelyALbwK7eCjawhz9IxZ7HSAEtfJv7W9DlkExjlks8jIsggLMqhFgGdrKGY%2FTR%2F3Jt0NL4Aq0408Rk1E8KRdK1UXD7weL0vDh4ULfiVt1X8ln88awSZbGJOGTg%2BQcr5iULoCeq2oupweKDXM7gaWUkhzZfML7dhyQujT7KuOy184nOkSgo%3D%7Ctkp%3ABk9SR7TV__ebZg,https://i.ebayimg.com/images/g/TaUAAeSwAEhoW3wH/s-l300.webp,2025-08-25T12:32:42.582486
Disney World Otterbox Magic Kingdom Castle Apple Iphone 10 X/XS Cellphone Case,24.99,$24.99,Brand New,N/A,Located in United States,N/A,7,0,N/A,True,False,False,False,https://www.ebay.com/itm/174533065161?_skw=iphone+case&itmmeta=01K3FQZX6V031M5PJ10AB5MHZ2&hash=item28a2fb39c9:g:k2kAAOSwdtpanm0Q&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1cqMT3FaSuapOc1q2WnKUvPLFdd%2FM6QQRo9YJrGCMemBvm%2FG%2BQHNHHTXhEdrwTf0OTiFITPqBF3sg4kT%2BwnlrtmfJwhYCVNfhN9QB9ch%2FARCNlCVh8MJY5pi4XJFKzA%2FYQsHyNJCHhmSFizSbVcFaflpdmm%2BJvJ%2BB417E%2FRRmb%2BpLDtmRlCxC%2B2c71CJwERh%2FoB1VPwZD5ZgPz5jdusVu4LE04ObqdpjssSqDrOXafprsU9ixFO3UNLRniyKoo%2BTMQ%3D%7Ctkp%3ABk9SR7TV__ebZg,https://i.ebayimg.com/images/g/k2kAAOSwdtpanm0Q/s-l300.webp,2025-08-25T12:32:42.587486
