title,price,price_text,condition,shipping,location,seller,watchers,sold_count,time_left,buy_it_now,free_shipping,best_offer,auction,link,image_url,scraped_at
Disney Otterbox Magic Kingdom Castle Apple Iphone 6/7/8 Cellphone Case NEW CUTE,19.99,$19.99,Brand New,N/A,Located in United States,N/A,14,0,N/A,True,False,False,False,https://www.ebay.com/itm/174533061293?_skw=iphone+case&itmmeta=01K3FQVK6N6F01ZDXRR9H4GH1R&hash=item28a2fb2aad:g:pusAAOSwKIBfvevK&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1erXchpbUntCJdaCqatl15hjhVXWFxUh4g80NNfUKeJX%2F0B84brHnO1nrm3Ihz7gzKuZfWEG28TnhkZBvxnSUKd2oN%2FYgoaVyf0YTI9Tm8Z0ssjqQ97B9CrNA19nM8%2FnjN9U14CTVuV2IjbNf2Xy3zAW3awHPjgxDspHUIE6zc%2FHRCnLfT8XqMYN%2FU9lgWCkoJ5MZKmNeQOJFBiUSIFxfv%2BprcV8lxw6m163mTgZ3yjHbY35IVxuTscnUWABvMujMFCsvbQuOOw0gpv4BBGoW7q2LApylr4K3MT54sZabVYZA%3D%3D%7Ctkp%3ABk9SR4S27vebZg,https://i.ebayimg.com/images/g/pusAAOSwKIBfvevK/s-l500.webp,2025-08-25T12:30:21.633527
For iPhone Case Cover Detachable Magnetic Leather Wallet Zipper Card Slot Purse,18.99,$18.99,Brand New,Free International Shipping,Located in China,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/236019945260?_skw=iphone+case&itmmeta=01K3FQVK6NRYPDVD5HRFMB60S7&hash=item36f3e28f2c:g:FXUAAOSw8sNkQ7hz&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cF0b4alzCIc5MbQqZRCLoc3PCiJU6vdqa8y3ccYIR71AWfNFWCBPymlHpcG3gTUYFj4HAjD1JEAlvgCpwOXLjaZMJ7qBgTKbF2uz%2B19yzc7fApJXt4tvh7KbRf9v2dOySJgkju3zJfRentPHRGKViXttnayzsQB%2BU01HR4mJItS5C8zw8B2sS5nIN8yPwaDpzbFk93xokFg%2B0KRuWscaHwrXNJFpxEFpOM25elek9045PGgvco%2BdTpT9wee1Bn0TMEaOhGp8yXe%2BI9pZRTZz%2B62JmbfpWzCSHKK0ZDGAN9KA%3D%3D%7Ctkp%3ABk9SR4S27vebZg,https://i.ebayimg.com/images/g/FXUAAOSw8sNkQ7hz/s-l500.webp,2025-08-25T12:30:21.633527
Case-Mate Apple iPhone 14 Pro Max Case,29.99,$29.99,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/146052789991?_skw=iphone+case&itmmeta=01K3FQVK6NCAA092EGX6MVZS9S&hash=item22016cb6e7:g:oaMAAOSwNJxm85JH&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1f6w4dORON3g8y1n3P%2BkvLweB46XLw1RxWHMJQRNST6z%2B%2B%2BR6fBB9kZuCF4Sxs4C3J6dPgQwsngcOEeFJzNfVp6BUCJgxs5pk4r%2BYpEK4o2%2FGIPzAMFujMfCyn87SRktrzXp6jPcFJ8qCvUHpf1C%2FcTtnHcsmu9eOByDM4RoSlmFJ%2F7B0FWlDLIiiQcmBYh0xzXoloJYW65TPozZtrqn2S5anWdY2Q47xMM5xwUjqd4AdJwqI%2B%2F45qSgCLVdxFVDl4%3D%7Ctkp%3ABk9SR4S27vebZg,https://i.ebayimg.com/images/g/oaMAAOSwNJxm85JH/s-l300.webp,2025-08-25T12:30:21.633527
Case-Mate Apple iPhone 14/iPhone 13 MagSafe Compatible Case,39.99,$39.99to$49.99,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/146052789997?_skw=iphone+case&itmmeta=01K3FQVK6NYX5G88B1G0FGQSX4&hash=item22016cb6ed:g:6aUAAOSwYj9m85Mv&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1d9N6pLZA%2BKQakAcZjumm7Gc4MxyVfhsVEx1xYOH9vK5jLegfsXhqhCt2LNQW9XzQs1NIBXT%2FuymrP0oISNi1yX6JD7DmGdpR%2FJ%2BlP9EAkChBi3B%2BfgZLEldDhgDzrYQ5BvK5nSCFw1%2Ff%2FXNXjzWNYKoaz%2ByqSOW63OJ918LP9oSOO7Wp8BWzZARDmpFHYG4S5b66l%2F7uGesUqCVMoNbQ6%2FAJiKCBbZpC5%2FjBrtJ4W%2Bw4bJMIYZV8%2BsPFtAKk0lPCg%3D%7Ctkp%3ABk9SR4S27vebZg,https://i.ebayimg.com/images/g/6aUAAOSwYj9m85Mv/s-l300.webp,2025-08-25T12:30:21.633527
Case-Mate Apple iPhone 14 Pro MagSafe Compatible Case,44.99,$44.99to$49.99,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/146052790003?_skw=iphone+case&itmmeta=01K3FQVK6NKCQ28F753M3ZX2NV&hash=item22016cb6f3:g:8FAAAOSwCzBm85JQ&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1d6TFA1b5FM2mrEplO7CggVlBZQNaCPE%2BtzxWzx0xgkuOB7CbRhT7e%2FNvaWXlC9X5xTNTrLt0QUOOTI5dzU6HYOH%2FwBIWdg0%2BbX5d14NrtidN11ZKdNyfexPeSapoiFz01J5UGq9gYr07MEYbFGsgZIrB5n1wT0of4kaEvHqT1eeYAfB%2F4rAzHvCfg%2BLBuB47Pgaeuv5SkQBlxOBw88naxKRLzYeM1kTfEOrm1nvbtQitaXMimyv%2BHBcfTKkDdAC%2Fc%3D%7Ctkp%3ABk9SR4a27vebZg,https://i.ebayimg.com/images/g/8FAAAOSwCzBm85JQ/s-l300.webp,2025-08-25T12:30:21.649503
San Judas Wood Phone Case For iPhone 15/14/13/12/11 Pro/Max/Mini S22/23 L,24.99,$24.99to$34.99,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/373733651301?_skw=iphone+case&itmmeta=01K3FQVK6N7654QTAHXZRB6VH4&hash=item570442f365:g:w2kAAOSwqQpex1LK&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1e3CjYZOTGtHvIDzq1wl7UGf3BaedC0jiE%2FomQuPZePF9VGX3gEEa2YpuWH67rwqFKPmM2Knf86q4gatmYVMvEVA%2BDCRR3rdu6IR3th19TnWVbNfle2u8vlyduJLwPaRzF8mX4VbN64AyUiSRiSs26SMFm1jo9KGMdlf6GfOh4Mp5y6zosmXbg4feLFoOkQP23troMQXZ6dn7RQunFURKjCO7qUJ0Phbb8TWXdyVkGeJZoeGP%2Bv12RS7a7MDd5Uj7s%3D%7Ctkp%3ABk9SR4a27vebZg,https://i.ebayimg.com/images/g/w2kAAOSwqQpex1LK/s-l300.webp,2025-08-25T12:30:21.649503
Mobility Signiture Range Graphite Black Iphone 5/5s Protective Case Brand New,13.3,$13.30,Brand New,N/A,Located in Australia,N/A,0,0,N/A,False,False,True,False,https://www.ebay.com/itm/154543630714?_skw=iphone+case&itmmeta=01K3FQVK6N4T9N03PDKD0TZFXP&hash=item23fb84a97a:g:uC0AAOSwOuVg~OkG&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1es%2FeLJVhka2AqbereBYjeSKZNgdN0YpfdluuhWmLRGA%2FTDchxaqv6UlU2AO3ZFT0NUV6KfUg5266vGKg5QaIydjpePYXyBmR9rnZ02RNQdlrMHAuyRvAJP6Gnjh%2BERcZS9zgPUaZgiNBQQ3N10K2JLFHQmdkPqHTYyXTAwB6eypu0hBIq%2FMvLphfDSBu00OFH7lpLW2btm0XXtp8Exjoez8LxV2HV%2F%2BenfyHswxkCIkA%3D%3D%7Ctkp%3ABk9SR4a27vebZg,https://i.ebayimg.com/images/g/uC0AAOSwOuVg~OkG/s-l300.webp,2025-08-25T12:30:21.649503
Double Flip Zipper Card Bag Mobile Phone Protective Case for Apple iPhone 16 US,34.56,$34.56,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/187076732545?_skw=iphone+case&itmmeta=01K3FQVK6N39CQVNWGZ5B9NZED&hash=item2b8ea46681:g:N~8AAOSwYONn0BhP&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1emB8hSs3QmlVz0rAkP54dfgMbgOI2SNsMO5etJWATms9Lu3NkgsWaxKKD2lH0Ghb2ADsgs4A0G%2FysoyRluB7DHJLv701I4p8XHf18YPs6o8ApVUR0fifdtzkRksKkmjjo2aUQ7UepNKhR6tk1UVMReZF6hz8LU0ahnBJ3Cn3fJvrJmIXFInfLO0JVjYPBQ9iXB6Hrq6VXT%2Bk58O3Jytbe0iIMBxfM6wR%2BpdVeZThMPr80elLrfJBUy%2B14O2ChHRxQ%3D%7Ctkp%3ABk9SR4a27vebZg,https://i.ebayimg.com/images/g/N~8AAOSwYONn0BhP/s-l300.webp,2025-08-25T12:30:21.649503
Tactical Molle Phone Case Pouch Waist Belt Bag Wallet Card Holder EDC Tools Bags,9.59,$9.59,Brand New,N/A,Located in United States,N/A,0,0,N/A,True,False,False,False,https://www.ebay.com/itm/114199470527?_skw=iphone+case&itmmeta=01K3FQVK6NVFKZQBCN4A6RTY8Y&hash=item1a96d1a1bf:g:0GIAAOSwZXBj5bxP&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1e%2FVkHykxVTHTHHdIbIuIe16OypJAMrilASCJc8havTglSKcrKcp6ZrTsXHePvzZNRWZaMoIAmKOxBOrhH%2BHU7ko6VlYu83BbcZKttfuRLA077WlK2DVkb9lkWWMlN28a%2B5YPFywjf0ifhMSsTtUqAow%2FeQzuHMP3iyeLM9SmXEbdW1HuttFRmS6rfw8VvU%2FTV%2BWVuflWyrESGoY9SJ9Vp8FIRajlGrbABXf70TQ0z1WM%2Fvvh5J2KfAnFKvkraozUA%3D%7Ctkp%3ABk9SR4a27vebZg,https://i.ebayimg.com/images/g/0GIAAOSwZXBj5bxP/s-l300.webp,2025-08-25T12:30:21.649503
Pilot phone case for iPhone 6 Plus,15.0,$15.00,Brand New,N/A,Located in United States,N/A,0,0,N/A,False,False,True,False,https://www.ebay.com/itm/283687588510?_skw=iphone+case&itmmeta=01K3FQVK6NPG893RH06VQSZBRG&hash=item420d19129e:g:jE4AAOSwQGtd22ac&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1eXFh7sPFoonbvXjeifcpS571tcyCSLurk5nAmnDaj9E0UvKBXEfSuv4%2BpLf6Q8YYQRTbO2U4Yz0ZQ5EvUsjSJ%2BuJuKY06ZVgY97lUNs1RBzeeGtPfU4FJi1xVhvK3Rm0fhMXVIDU89EIEgIO9wfN7ikypgQFfV34Z%2FVZLOGzoKY9FI%2FOyCSRhYuSArMJCm%2F%2BOLVov2U6gTWoDkKGmyJVx2aygUKbl4AtfVvmn0n9Amzgivn6Lk8dEr4l911wwkT58%3D%7Ctkp%3ABk9SR4a27vebZg,https://i.ebayimg.com/images/g/jE4AAOSwQGtd22ac/s-l300.webp,2025-08-25T12:30:21.665176
